model_name,params,runtype,480p decode,480p sr,480p e2e,480p full
SR_RFDN_2_48,239511,tensorrt-nvdec-gl,3622.07,111.89,108.61,104.91
SR_RFDN_2_96,878103,tensorrt-nvdec-gl,3617.70,61.79,60.62,59.42
SR_RFDN_jpeg_2_128,1525591,tensorrt-nvdec-gl,3702.89,48.52,43.95,46.95
SR_RFDN_jpeg_2_256,5889623,tensorrt-nvdec-gl,3489.60,16.86,16.72,16.64
SR_RFDN_4_16,55687,tensorrt-nvdec-gl,3751.74,298.83,277.48,252.91
SR_RFDN_4_48,419175,tensorrt-nvdec-gl,3526.50,59.80,58.68,52.16
SR_RFDN_4_128,2799575,tensorrt-nvdec-gl,3272.51,25.36,25.09,24.83
SR_RFDN_4_256,10981207,tensorrt-nvdec-gl,2866.40,8.90,8.86,8.82
SR_EDSR_2x_0_32,48003,tensorrt-nvdec-gl,3048.46,742.21,623.42,511.54
SR_EDSR_2x_1_32,66499,tensorrt-nvdec-gl,3555.69,631.20,488.09,254.84
SR_EDSR_2x_1_128,1040131,tensorrt-nvdec-gl,3659.67,88.47,86.28,83.81
SR_EDSR_2x_1_256,4144643,tensorrt-nvdec-gl,3660.67,25.90,25.97,25.79
SR_EDSR_2x_2_32,84995,tensorrt-nvdec-gl,3574.05,538.11,465.03,399.44
SR_EDSR_2x_2_48,189699,tensorrt-nvdec-gl,3099.67,261.02,242.91,224.08
SR_EDSR_2x_2_52,222355,tensorrt-nvdec-gl,3402.48,180.17,171.48,154.75
SR_EDSR_2x_2_96,752643,tensorrt-nvdec-gl,3784.64,98.08,95.84,90.72
SR_EDSR_2x_2_128,1335299,tensorrt-nvdec-gl,2582.32,71.95,69.26,68.92
SR_EDSR_2x_2_256,5324803,tensorrt-nvdec-gl,3482.67,21.29,21.10,20.96
SR_EDSR_2x_4_32,121987,tensorrt-nvdec-gl,3648.53,428.85,386.64,341.54
SR_EDSR_2x_4_52,319907,tensorrt-nvdec-gl,3717.72,140.57,134.93,129.42
SR_EDSR_2x_4_256,7685123,tensorrt-nvdec-gl,3701.69,15.50,15.25,15.27
SR_EDSR_2x_6_12,22899,tensorrt-nvdec-gl,3625.87,928.82,723.87,582.18
SR_EDSR_2x_16_64,1369859,tensorrt-nvdec-gl,3677.35,58.55,57.47,56.32
SR_EDSR_2x_32_256_r,40729603,tensorrt-nvdec-gl,3529.62,3.21,3.21,3.20
SR_FastEDSR_2x_1_4,852,tensorrt-nvdec-gl,3740.64,3392.30,1765.88,1065.08
SR_FastEDSR_2x_1_8,2268,tensorrt-nvdec-gl,3819.04,3208.61,1511.81,986.30
SR_FastEDSR_2x_1_16,6828,tensorrt-nvdec-gl,3554.42,2832.13,1547.16,974.13
SR_FastEDSR_2x_1_32,22860,tensorrt-nvdec-gl,3843.43,1866.77,1188.58,860.44
SR_FastEDSR_2x_1_64,82572,tensorrt-nvdec-gl,3340.14,772.26,630.96,530.82
SR_FastEDSR_2x_1_128,312588,tensorrt-nvdec-gl,3647.65,323.55,295.98,269.57
SR_FastEDSR_2x_2_4,1148,tensorrt-nvdec-gl,3712.61,2841.60,1449.51,1058.43
SR_FastEDSR_2x_2_8,3436,tensorrt-nvdec-gl,3735.43,2637.13,1560.62,947.56
SR_FastEDSR_2x_2_16,11468,tensorrt-nvdec-gl,3583.27,2199.01,1292.19,872.24
SR_FastEDSR_2x_2_32,41356,tensorrt-nvdec-gl,3678.23,1290.16,865.23,716.74
SR_FastEDSR_2x_2_64,156428,tensorrt-nvdec-gl,3384.91,455.39,418.62,367.47
SR_FastEDSR_2x_2_128,607756,tensorrt-nvdec-gl,3576.00,180.56,172.88,163.65
SR_FastEDSR_2x_4_8,5772,tensorrt-nvdec-gl,3610.62,1910.59,1200.32,886.58
SR_FastEDSR_2x_4_16,20748,tensorrt-nvdec-gl,3698.13,1467.06,1052.09,796.26
SR_FastEDSR_2x_4_32,78348,tensorrt-nvdec-gl,3683.65,740.60,639.79,522.31
SR_FastEDSR_2x_4_64,304140,tensorrt-nvdec-gl,3387.52,256.79,242.13,225.46
SR_FastEDSR_2x_4_128,1198092,tensorrt-nvdec-gl,3527.96,96.60,93.64,75.95
SR_FastEDSR_2x_8_16,39308,tensorrt-nvdec-gl,3385.17,917.53,752.91,605.88
SR_IMDN_2x_1_48,88251,tensorrt-nvdec-gl,3780.80,280.75,265.88,244.88
SR_IMDN_2x_1_64,153824,tensorrt-nvdec-gl,3193.51,234.15,220.70,205.69
SR_IMDN_2x_1_96,339210,tensorrt-nvdec-gl,3082.30,126.12,121.93,116.63
SR_IMDN_2x_1_128,596916,tensorrt-nvdec-gl,3435.58,108.83,105.12,101.34
SR_IMDN_2x_1_256,2350940,tensorrt-nvdec-gl,3707.62,35.72,35.20,34.13
SR_IMDN_2x_2_48,149130,tensorrt-nvdec-gl,3766.05,138.57,146.14,140.66
SR_IMDN_2x_2_96,582216,tensorrt-nvdec-gl,3586.40,66.15,64.80,63.36
SR_IMDN_2x_2_128,1028700,tensorrt-nvdec-gl,3193.79,58.09,57.10,55.96
SR_IMDN_2x_4_16,31808,tensorrt-nvdec-gl,3331.59,373.96,337.91,303.86
SR_IMDN_2x_4_52,317120,tensorrt-nvdec-gl,2210.52,68.21,66.81,59.02
SR_IMDN_2x_4_256,7528268,tensorrt-nvdec-gl,3509.19,10.32,10.24,10.17
SR_IMDN_2x_5_16,38629,tensorrt-nvdec-gl,3165.26,300.20,200.67,254.46
SR_IMDN_2x_6_64,694404,tensorrt-nvdec-gl,3533.08,48.27,47.50,44.46
SR_RFDN_2x_1_4,1363,tensorrt-nvdec-gl,3409.32,1203.32,890.62,699.77
SR_RFDN_2x_1_48,117204,tensorrt-nvdec-gl,3449.94,211.15,198.93,176.97
SR_RFDN_2x_1_64,205228,tensorrt-nvdec-gl,3085.41,205.99,194.35,182.09
SR_RFDN_2x_1_96,454716,tensorrt-nvdec-gl,3512.86,112.62,108.52,104.81
SR_RFDN_2x_1_128,802124,tensorrt-nvdec-gl,3496.01,85.52,82.99,80.75
SR_RFDN_2x_1_256,3170956,tensorrt-nvdec-gl,3375.24,31.26,30.86,30.53
SR_RFDN_2x_2_16,24668,tensorrt-nvdec-gl,3225.39,467.98,410.57,363.03
SR_RFDN_2x_2_48,207036,tensorrt-nvdec-gl,3176.65,110.82,107.22,103.25
SR_RFDN_2x_2_52,242306,tensorrt-nvdec-gl,3487.50,86.18,78.45,81.35
SR_RFDN_2x_2_64,364748,tensorrt-nvdec-gl,3122.50,97.95,107.84,103.84
SR_RFDN_2x_2_96,813228,tensorrt-nvdec-gl,3410.56,61.10,59.79,58.46
SR_RFDN_2x_2_128,1439116,tensorrt-nvdec-gl,3147.45,48.70,47.76,47.00
SR_RFDN_2x_2_256,5716748,tensorrt-nvdec-gl,3487.47,17.25,16.90,16.89
SR_RFDN_2x_4_16,44812,tensorrt-nvdec-gl,3421.94,269.11,267.61,246.17
SR_RFDN_2x_4_48,386700,tensorrt-nvdec-gl,3352.99,59.42,55.80,56.68
SR_RFDN_2x_4_52,453088,tensorrt-nvdec-gl,3051.88,44.84,41.41,40.98
SR_RFDN_2x_4_96,1530252,tensorrt-nvdec-gl,3153.08,32.37,32.49,30.99
SR_RFDN_2x_4_128,2713100,tensorrt-nvdec-gl,2787.96,25.42,25.43,25.18
SR_RFDN_2x_4_256,10808332,tensorrt-nvdec-gl,3293.63,8.95,8.82,8.70
SR_RFDN_2x_6_48,566364,tensorrt-nvdec-gl,3278.96,39.47,39.60,38.17
SR_RFDN_2x_6_52,663870,tensorrt-nvdec-gl,2540.77,28.28,29.00,29.14
SR_RFDN_2x_6_64,1002828,tensorrt-nvdec-gl,2742.56,41.49,39.23,37.00
SR_SRCNN_2x,20099,tensorrt-nvdec-gl,2415.63,355.10,299.62,296.50
SR_VDSR_2x_18_64,668227,tensorrt-nvdec-gl,2406.43,35.39,35.66,35.26
SR_EDSR_2_52,832055,opengl,,,,
SR_EDSR_4_52,929607,opengl,,,,
SR_FastEDSR_2_4,3923,opengl,3712.48,1906.78,1247.91,1188.94
SR_FastEDSR_2_8,8911,opengl,3811.41,1436.28,1000.21,885.82
SR_FastEDSR_2_16,22343,opengl,3813.11,758.63,609.62,595.02
SR_FastEDSR_2_32,63031,opengl,3686.85,334.19,177.75,276.91
SR_FastEDSR_2_64,199703,opengl,3357.27,85.80,83.14,82.81
SR_FastEDSR_2_128,694231,opengl,3322.36,22.62,22.35,22.25
SR_FastEDSR_4_8,11247,opengl,3763.02,1050.11,791.52,765.90
SR_FastEDSR_4_16,31623,opengl,3637.67,567.15,477.48,436.76
SR_FastEDSR_4_32,100023,opengl,3494.44,186.93,168.96,168.80
SR_FastEDSR_jpeg_4_48,205287,opengl,3359.96,81.47,75.40,77.44
SR_FastEDSR_4_64,347415,opengl,3077.78,44.40,43.56,43.34
SR_FastEDSR_4_128,1284567,opengl,3725.57,11.31,11.14,11.18
